Area/volume,Max/min,org_coating_HAcceptors,org_coating_LogP,common_spin,Eff_anisotropy_const,Magnetic_anisotropy,Magnetocrystalline_anisotropy,Anisotropy constant ,Crystalline,MAE,Curie_temperature,Spehricity,Exchange_constant,Electronegativity core,Space group,Demagnetization_factors,Saturation_magnetization,Coercivity,Remanence_magnetization,Interdomain_coupling,M_magnetic_susceptibility
0.300,0.000,0.000,0.330,0.933,0.224,0.000,0.074,0.519,0.000,0.448,0.488,1.000,0.636,0.869,1.000,1.000,0.084,-5.199,0.000,0.000,0.067
0.146,0.000,0.000,0.330,0.933,0.224,0.000,0.074,0.519,0.000,0.760,0.488,1.000,0.636,0.869,1.000,1.000,0.176,-5.199,0.000,0.000,0.067
0.261,0.000,0.000,0.330,0.933,0.224,0.000,0.074,0.519,0.000,0.760,0.488,1.000,0.636,0.869,1.000,1.000,0.084,-5.199,0.000,0.000,0.067
0.750,0.000,0.000,0.330,0.933,0.224,0.000,0.000,0.519,0.000,0.448,0.488,1.000,0.636,0.861,1.000,1.000,0.057,0.867,0.005,0.000,0.067
0.075,0.000,0.444,0.230,0.314,1.119,0.008,0.036,0.058,0.000,0.880,0.280,1.000,1.000,0.873,0.618,1.000,0.071,0.249,0.004,0.000,0.267
0.075,0.000,0.444,0.230,0.314,1.119,0.008,0.036,0.058,0.000,0.880,0.280,1.000,1.000,0.873,0.618,1.000,0.071,0.249,0.004,0.000,0.267
0.075,0.000,0.444,0.230,0.314,1.119,0.008,0.036,0.058,0.000,0.880,0.280,1.000,1.000,0.873,0.618,1.000,0.071,0.249,0.004,0.000,0.267
0.003,0.096,0.000,0.330,0.133,1.119,0.008,0.036,0.058,0.000,0.287,0.280,1.000,1.000,0.861,0.618,1.000,0.009,-5.199,0.000,0.019,0.267
0.003,0.096,0.000,0.330,0.133,1.119,0.008,0.036,0.058,0.000,0.287,0.280,1.000,1.000,0.861,0.618,1.000,0.009,-5.199,0.000,0.019,0.267
0.214,0.000,0.000,0.330,0.133,1.119,0.034,0.036,0.058,0.000,1.000,0.280,1.000,1.000,0.861,1.000,1.000,0.038,0.484,0.002,0.000,1.000
0.214,0.000,0.000,0.330,0.133,1.119,0.034,0.036,0.058,0.000,1.000,0.280,1.000,1.000,0.861,1.000,1.000,0.009,0.263,0.002,0.000,1.000
0.187,0.000,0.000,0.330,0.214,0.392,0.258,0.002,0.091,0.000,0.287,0.411,1.000,0.476,0.838,1.000,1.000,0.088,0.786,0.000,0.038,0.267
0.187,0.000,0.000,0.330,0.214,0.392,0.258,0.002,0.091,0.000,0.287,0.411,1.000,0.476,0.838,1.000,1.000,0.088,0.786,0.000,0.038,0.267
0.043,0.000,0.000,0.330,0.400,-0.281,0.000,0.002,0.624,0.000,0.050,0.535,1.000,0.651,0.861,1.000,1.000,0.088,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,-0.281,0.000,0.002,0.624,0.000,0.050,0.535,1.000,0.651,0.861,1.000,1.000,0.088,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,-0.281,0.000,0.002,0.624,0.000,0.050,0.535,1.000,0.651,0.861,1.000,1.000,0.088,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,-0.281,0.000,0.002,0.624,0.000,0.050,0.535,1.000,0.651,0.861,1.000,1.000,0.088,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,-0.281,0.000,0.002,0.624,0.000,0.050,0.535,1.000,0.651,0.861,1.000,1.000,0.088,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,-0.281,0.000,0.002,0.624,0.000,0.050,0.535,1.000,0.651,0.861,1.000,1.000,0.088,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,-0.281,0.000,0.002,0.624,0.000,0.050,0.535,1.000,0.651,0.861,1.000,1.000,0.088,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,-0.281,0.000,0.002,0.624,0.000,0.050,0.535,1.000,0.651,0.861,1.000,1.000,0.088,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,-0.281,0.000,0.000,0.624,0.000,0.050,0.535,1.000,0.634,0.861,1.000,1.000,0.078,-5.199,0.000,0.038,0.000
